14.188967,なぁ
15.42,ああ
17.94,おはよう ござい ます よろしく お 願い し なぁ
27.3,そう です ねー
30.93,うち の 会社 な ん です ね 日 の 終わり が 十 月 末 で
36.42,はい
37.71,十一月 来月 から あの 日 来 です が 非常 に なる ん です けれど も
43.68,あの 二十 に の に 家 の 中 に 会計 年度 に か の 日 が 始まる ん です けれど も それ に 伴っ て
53.55,この 一 年 の フィードバック 表 の バック が そろそろ 始まり まし て
62.82,この 時 ない よ し た か なぁ と いう の です ねー 日 月 八 日 まで に 上司 に こんな こと ａｃｈｉｅｖｅ し まし た と いう の を 報告 し なきゃ いけ ない 時期 に 来 て い て やっと 一 年 を 今 振り返っ て いる ところ です ね
81.989451,です 年収 一 年 を 振り返っ て まし た けど
87.0,何 し た
88.35,忙しい なぁ と 思っ て まし た けど なん です が だっ た ん だ 思う
93.337932,ます
121.65,ねー
126.42,そう です ね はい はい
134.97,ん
140.01,ん
146.580293,ん
150.661187,ん
154.89,ん
157.68,ん
162.99,ん
170.94,そう です ね 重要 です よ ねー
174.18,うち の 会社 は そう いう その 評価 と は 別 に です ね 何 を 何 が 強み で 何 が 読み で 何 を どう し たい か って いう の を やる ん です けれど も
185.94,あの ちょっと 話 と か も しれ ない です けど 今 凄い チーム も 流動 その 際 ねー だろ う
193.23,と か ねぇ
195.96,今日 は ねー もう なんか こんな ところ を やり たい って いう の を 私 は つらつら 書い た ん です けれど も
202.59,あの は の 変わっ て いく から
205.71,その 熟 私 は よ って 言わ れ て ねー
209.487554,そう 思う ん です ね な ん だ よ ねー と 後 その
217.17,まあ いい ん です けど ね
219.09,こんな そんな 感じ でし た で も あの が で 後 の 評価 面接 が ある の は 本当 は です ね を たり あの 半期 ごと に どう いう の やっ て
230.64,あのー 生 の 初め に は 例えば こんな スキル を 磨き たい と か こと やり たい と いう だ よ と か そう いう の が ある はず な ん です けど 何 か ちょっと 最近 は みんな バタバタ し て おり まあ みんな プロジェクト に 関与 し て い て その プロジェクト が 終わる まで は な だ か なぁ って いう 感じ だっ た
250.32,あの 今回 本願 控え て 層 別 の なー こんな こと 言っ て た けど なぁ って 思っ たり し ます し ね
258.3,具体 的 に 在庫 話し 合っ て ない し 花 話さ ない よ って 言わ れ た なぁ
263.31,よう な ん だ よ
265.23,大越 なぁ
268.32,そう な ん です ね で も 難しい が 全部 英語 な の で
272.25,あの 人 や でし た よ なぁ
275.34,ねー
277.17,今 トレーニング 議題 と か 言っ て も
280.53,その まあ アレ な 人事 多分 数 社 の 人事 を さ れ て いる か と 思う 人事 系
287.82,ねえ な ん です けど も 編集 も な トレーニング が 用意 さ れ て い て あの で も 全部 英語 な ん です よ ね 別 に いい ん です けど よ ない です よ ね やっぱり ね
