2.13,今日 は
4.56,もしもし 聞こえ ます か
7.71,伊藤 です
11.52,ない し ます すい ませ ん 実家 帰っ て もらっ て ありがとう ござい まし た
19.532075,そう です か
23.46,何 か 凄い です か
28.98,そう な ん です ねー
33.96,はい
39.566982,ああ
41.64,そう な ん です ねー
49.83,主な の これ チャー 分かり ます
59.13,はい
61.56,良かっ た です
64.380132,ああ そう だ 大丈夫 です から お 仕事 は それ で も 大丈夫 です か
73.38,そう な ん です ね そう です よ ね 陣地 の こと って 即効 そう いう こと も さ れ てる ん です ねー
82.68,今日 は あのー あれ な ん です よ あの 変更 し て いただい た の は あの Ｌ の 中 で あの イベント と 言い ます か
91.29,頭 あれ が あっ て えっとー 鈴木 さん どれ くらい トラック を チェック さ れ てる か わかん ない ん です けど
98.85,えーとー セッション 談話 室 って いう の が あっ て それ 十 時 から な ん です ね
104.91,で あ 十 人 十 二 版 な の で それ に ちょっと 出 たかっ た の で ある 中 と 変更 し て いただい た ん です けれど も その セッション 談話 室 で まー 今 ん とこ 月 に 一 回 ぐらい あの 行わ れ て いっ て その か 幹部 って 言う ん じゃ ない ん です よ で と ま エール 側 の 方 と あの Ｌ の
124.8,サポート 我々 サポーター で は なく て もっと 上 の 人 と 責任 が ある 方 達 が 主催 を し て で 私 は あの んと サポーター と し て も やっ て た ん です ね な の で
138.54,はい で ます 誰 で も 別 に あの ジョイン できる ん です けど あの ちょっと サポーター やっ て い て 色々 モヤモヤ し た こと が あっ たり し た の で そこ に で て もう 終わっ ちゃっ た ん です けど
151.74,あのー ちょっと ん こんな こと で 困っ て まし た みたい な 話 を 皆 さん どう し て ます って いう の を 記し たい な と 思っ て そっち に 躊躇 出る こと に し て しまっ た の で はい
163.211968,うん
165.09,そう です か それ セッション 談話 室 の 今日 の 分 です ね 十一月十三日 の 文化 の それ に で て で あ そろそろ で で で ちょっと 私 達 喋り すぎ て 三十 分 ぐらい 延長 さ し て もらっ ちゃっ た ん です を
181.41,で も ちゃ ま すっきり し て あー すっきり し た なぁ ごはん ごはん 食べ 頃 なぁ と 思っ たら 実家 の 母 から 電話 掛かっ て き て 長電話 に なっ て いー ねー
190.2,オイル が 凄い 遅い お昼 を 食べ て
193.92,開示 を やっ て あ そう だ 町 が よ 力 だ って いう こと で 家事 を 引き上げ て 配置 あの き まし た
204.12,ね これ に 集中 し よう と 思っ て い まし た けど 気持ち を 切り替え つつ ある ところ です ね はい
214.89,そう です ね ＠ も です ね はい
224.31,はい
228.99,あっ そう です よ ね はい
239.559346,はい
243.33,を です そう です
245.1,はい
246.75,はい
247.74,を です ね そう です
253.26,そう です よ ね いや 私 も 今 その セッション の と 今 振り返っ て い て あ そう だっ た なぁ って 今 も 言い まし た し ない こと 選択 する あのー ちょっと 号 棟 が 一 段落 を 知っ て まし て も ない ん です けど ま し た 感じ に なっ て を
270.3,リー だ から 夕方 の 前 から も お 話し し た よう に いう 形 の 時間 を ちゃんと 取ろ う と も えー
276.69,あの さあ 私 は 三十 分 ウォーキング を し てる ん です って いう と それ を 入れ て その 前後 は 仕事 し ない と いう 風 に し た リー 後 やっぱ そう は 言え ちょっと ミーティング 中 力 と か 九 時 から と か ま 十 一 時 と か やっぱ ある ん です けれど も ま それ 割り切っ て と いう か まー す
296.4,俺 は やる と で も ダラダラ し ない えー 十 一 時 に 始まる ん だっ たら まー 十 時 半 ぐらい に もう 一 回 オフライン を オン ライン に なっ て から やる で も 十 時 半 まで は 仕事 し ない と か いう こう メリハリ を する あの し ない こと を 選択 する と いう か そう です メリハリ を つける 誰 たら し ない って いう か
316.56,こと は ちょっと 通ず か 家 て い た 気 が し ます
322.41,ん で は ある ん そう です ね
327.96,な の で ま 一過 性 で も ない です けれど も ま 引き続き ちょっと その よう な 感じ で 仕事 し まし た と いう こと で は ある ん です けれど も
341.88,あの 腕 の は が あり まし て マネージャー と 木曜日
347.19,で まー 細 麺 と の 話 と か も あっ た ん です けど
351.42,あの
354.51,えっとー 一 中 の が あの その 腕 の は 最初 の 十分 です ね あの マネージャー が あの ずっと 喋り っ放し えー 実 は です ね ま 私 達 ＩＴ な の で あの ちょっと 私 が い 一 日 十 一 月 の 一 いい で その し 夏休み
374.16,外 から 帰っ たら ちょっと 問題 が 落ち て た ん です ね
378.0,ん あのー まー さー が 動か ない って いう か ちゃんと ちゃんと 動か ない みたい な ちゃんと システム が 動か ない みたい な の が あっ て で あの で まー す わっ 我々 が 治せる わけ じゃ ない です ね あの サードパーティー と いう か コントラクター と いう か まぁ インド チーム が 出 て 外部 の 外部 の 会社 が やっ て
397.95,そこ に ま 一緒 に 超 働い てる と いう か ま 彼 ら が インド の チーム が 責任 を 持っ て それ を サポート し て おり で 我々 は 何 て 言う ん でしょ ベンダー の コントロール じゃ ない でしょ ベンチャー の マネジメント じゃ ない 間 相関 ない 感じ な ん です よ ね なん で あの ま 月 カート は と 私 水曜日 が また 休み で で
418.14,私 そんな に すごい すごい 問題 な の か な って いう に 私 が あんまり なく て で インド チーム も あんまり こう ま ま そ そんな に こう サポート の レベル が 高く ない ん です けれど も
432.57,で まー で も 私 は もう 彼 ら が やる べき だ し これ ら が やれ ば いい じゃん と 思っ て た ん です けど で まー 水曜日 な の で ま 木曜日 たら 開設 し てる か なぁ ぐらい な ちょっと 軽い 気持ち で い た ん です けど そ し たら もう 木曜日 ぐらい に は 火 を 噴い て い て
449.28,あーのー もう 何 か マネージャー も あのー 結構 テンション 上がっ て い て
456.3,あの ん だ な なん で こんな こと に なっ て いる ん だ と あのー 何 か こう 何 て 言う か ブリッジ ミーティング と いう か 関係 者 集め て その サポート し てる 感じ 者 全員 集め て ミーティング なり そのー 停止 的 な 報告 なり を し て そ エスカレーション プロセス って の が ある ん です けど それ を やら なきゃ いけ ない じゃ ない か
476.4,みたい な 話 に なっ て い て で あ そう そう いう こと が あっ た ん です よ
482.46,で ま 市 は 赤い 実 は し て ユーザー は 使える よう に なっ た ん です けれど も
487.2,は まで やら なきゃ いけ ない こと が ある と あの 裏側 で は って いう の が もう 週明け に なり て
494.19,あの 木曜日 の その 前 の 話 を し た 時 に は マネージャー は あの こう いう こと が あっ た けれど も 我々 の その えっと 会社 側 の チーム って 言う ん です か あの 従業 員 が の チーム が 一 に 三 日 後 に いる の か な
507.18,あの 後 に いる ん だ けど 二人 が プロジェクト 先 に なる で 残り 三 人 な ん です けど
512.07,あの で ま ど そう いう こと が 起こっ たら それ は インド チーム の 責任 だ けど 彼 ら が でき ない ん だっ たら 君 たち が やら なきゃ いけ ない と 何 か これ は エスカレーション プロセス が どうのこうの で 後 で 女 だ から やら なきゃ いけ ない って は で 僕 が し たい し てる こと は こう いう こと だ から 君 たち は こう いう こと を し て を し て ほしい と も やら 女 こう いう こと だ って そう いう 土地 は こう やっ て こう やっ て こう やっ て
532.08,こう だろ う って いう そう いう 話 は 十分 バー って 続い た ん です よ
536.82,で まー そう だ なぁ と 思っ て い た ん です けれど も それ で も ま 確か に そう な ん です けれど も そう 私 の 仕事 だっ た の か なぁ って いう の も 思っ て で も 多分 マネージャー と し て は 誰 で も いい から とりあえず やれ って いう こと な ん だ なあ って いう こと
556.92,とー
558.48,アート を まー も そう な ん です ね
561.39,あと ちょっと 最近 マネジャー が ちょっと イライラ し て いる の で もしくは し たら ちょっと なかっ た の か なぁ と か も 売っ たり し て まー あのー 全然 いい マネージャー な ん です けど
573.42,あの そう いう こと が あっ て あ ちょっと 考え直さ ない か なぁ って いう の を 思っ たり し た こと が あっ て その 後 は 細 麺 と の 話 に なっ て
587.25,で あの そう やっ て その インド チーム を 見る の は ば みんな の ロール だ と みんな が やる べき だ と その 従業 員 の チーム 全員 が やる べき だ と そこ に 入っ て いる から みたい な そう いう ニュアンス の 話 が あり で その 一環 と し て やっぱり 夜 から の ミーティング が そう なる と そこ は で なきゃ いけ ない ん だ なぁ と いう の を 思う
608.725,後 まー 新しい ロール が 増え たり
611.935,あーのー まま で の ロール を し たり って いう ところ が あっ た ん です けれど も
617.095,その 今 やっ てる ロール も ま こないだ は ある マイク ず あの ずっと お 話し し てる よう に そう 私 が やり すぎ ちゃう から あの いけ ない と やっ て しまう から みんな し たり する ん だ って いう ところ が あっ て それ も 何 か もっと ちゃんと もっと ちゃんと やる じゃ ない けど ダメ な こと は
637.135,駄目 だ って 言え と あの あの も もう 子 も でき ない よ って 思う ん です けど で も ちょっと やれ ば 何 と か なる と か 思っ て やっ ちゃう ん です けれど も あの もう それ を する する な と は 言わ ない と も
658.015,まー する だ よ ね
659.965,いう 話 と か です ね そう いっ た ところ が あっ て
665.275,で もっと 何 か なん つっ たら いい でしょ う か ねぇ もっと こう ま け 結論 と し て もっと 強く やれ と 赤 ま 責任 を 持っ てっ て いう こと な ん です けど あの その だらだら し ない じゃ ない と 彼 ら が でき ない ん だっ たら そこ は ま ちゃんと やる は 彼 ら の 責任 で は ある けれど も 彼 ら が でき て ない ん だっ たら そこ は ちゃん
685.194019,と やれ って 言っ て えー でき ない なら やら ない も 私 は 受け付け ない って いう 風 に あの 言っ て こ ない と 駄目 だ って いう よう な 話 に なっ て
695.014229,ああ そう だ なぁ と 思っ て で もう そう です ね 案 って いう 話 に なっ て
703.735,って は の は だっ た ん です よ ね
706.495,で ん そう な ん だ と か そう いう 意味 で も 働き 方 加え 後 私 もっと 強く 言わ なきゃ いけ ない ん だ なぁ と 思っ て なかなか 難しい なぁ と 思っ て 後 何 か 新しい ロール が 増える ん です けど それ は もっと グローバル チーム に 音 ボルボ し て あの もっと やら なきゃ いけ ない ん です よ ね
726.715,だ から すごい チャレンジ だ なぁ と 思っ て い て
730.820444,ちょっと ちょっと は 楽しかっ た 働き 方 と いう か 自分 が どう いう 気持ち で どう いう こと を 目指し て やら なきゃ いけ ない か なぁ と 思っ て ちょっと 考え た ところ です ね
753.655,そう です よ ね なんて
756.895,あーのー メリハリ を つける の は いい ん です けど また ちょっと 新しい ルール も で でき て 慣れる まで は また 時間 が かかる し
765.295,あの グローバル チーム と は トルク って こと を
769.225,で やっぱり これ ら た トラック に は やっぱ 時間 が 必要 だ なぁ と 思っ て あのー 朝 早く と か 夜 遅く の 時間 が ない と やっぱ やっ て いけ ない なぁ と か
781.165,で も 夜中 まで 働い て と 怒ら れる し 的 な ん です けど
787.765,ナンバー ダム ちょっと チャレンジ だ なぁ と は
