6.693978,ござい ます か
11.19,すい ませ ん あの 日 は ヘッド セット で 参加 しよう と 思っ た ん です けど ちょっと うまく つながら なく て です が 今 はい 日 の コンピューター の 前 で あれ し て いる の で もし か し たら お 聞き苦しい 点 が ある か も しれ ませ ん ごめん なさい
29.07,大丈夫 です か
30.6,田舎 は ござい ます
36.93,雨 が と 申し ます よろしく お 願い 致し なぁ
43.29,はい
45.0,はい
46.38,はい 私 の サポーター を 引き受け て ください まし て ありがとう ござい ます
61.05,まだ です
63.6,六 が に 接種 が 始まっ た でしょ
68.28,始まり まし て ねー なー 待っ て いる 最中 な ん です けれど も
74.22,待っ てる 最中 に ちょっと 色々 やっ て み たい なぁ
78.87,あの レイヤー さん の 価値 が 思い が ちょっと し たい なぁ と 思い ます
84.451985,はい
87.24,ねぇ ねぇ
92.1,です ね じゃあ そんな 日 の ない タイミング だっ た ん です よ に
100.26,あっ じゃあ 一緒
102.350991,なぁ
103.8,もう
113.7,はい
116.58,ん
118.56,ねー なー
126.36,そう な ん です ね なく あの ＆ 等 と いう か 同じ ぐらい 入っ た 形 で あの 始め た 形 で だ の マッチング が 着 られる と いう 方 は です ね 値上げ オーケー に し て いる と やっぱり は が 多い よう な こと 言っ て い まし た
143.4,の よう な の 最中 に なら れる 方 が 多い みたい な の で 企業 と か
148.38,な の で ちょっと 私 も です ね なかなか 平日 時間 が 取れ なく て いう の も ある の か なぁ と 思い ながら です ね 状態 が 続い て いる 感じ
160.95,ん
170.28,そう な ん です ね あの 今 この 中 で 私 も 一 つ 一 年 半 以上 在宅 勤務 な ん です も 全然 吹け に なっ たら 時間 は ね 多少 あの できる ん です けれど も
182.67,ね やっぱり あの オフィス に 戻っ たら よ
185.04,ホーム に 行か ない なぁ
186.6,に です よ ねー
194.82,じゃあ よう です ねー
196.8,難しい 雲
201.39,村
204.15,とんでも ない です よろしく お 願い いたし ます
209.82,ね
213.87,そう です
218.16,はい
221.67,そう です ね
222.99,に
226.77,ない
228.99,じゃあ お 願い し ます
230.79,ない
233.25,何
234.99,何
245.04,が いい です ねー
249.24,はい
257.73,ねえ ねえ ない
263.882578,ねぇ
266.85,うん
271.89,もう
276.24,はい はい
283.44,はい
291.75,ねー
294.6,ん ねぇ
298.47,ねー
311.1,骨董 品 店 を 三味 線
315.21,な は な ん です ねー なんか こんな こと 言っ て も こんな こと 言っ たり する か も しれ ない です けれど も お 写真 を 拝見 する に あたり まし て 尺八 が 凄く 似合う よう な 気 が
333.33,頃
363.66,よ ねー
371.61,ねー
382.44,ん
399.15,そう です
408.24,もう です ね 中国 て いい です
418.800439,ぬー
423.81,ねー
431.79,ん ん
436.98,もう
442.214736,です ね
447.24,もう
449.7,ん
458.61,はい
463.954541,ねぇ ねぇ
474.15,うん
483.15,ん
486.96,に
492.0,ん
499.2,ん
505.53,もう
